SurveyYear,SurveyPeriod,SiteName,StartDate,EndDate,Race,EstimatedAnnualIncome,ZipCode,SurveyResponseID,Q1 - DoMoreVolunteerWork,Q2 - SeeFriendsMore,Q3 - TakeCareOfHealth,Q4 - EatBetterMeals,Q5 - HaveMoreEnergy,Q6 - FeelHappier,Q7 - SomethingToLookForwardTo,Q8 - KnowWhereToAsk,Q9 - FeelIndependent,Q10 - FeelSeniorCenterPositiveEffect,Q11 - LearnNewThings,Q12 - LearnedAboutServices,Q13 - MoreActive,Q14 - WouldRecommendSeniorCenter,Open1 - HowSeniorCenterChangedLife,Open2 - ParticipateInTheseActivities
2015,1,Southeast Senior Center,00:00.0,00:00.0,"Asian, Asian-American ",Not Specified,98108,530,Sometimes,Most of the Time,Sometimes,Sometimes,Sometimes,Most of the Time,Sometimes,Most of the Time,Most of the Time,Most of the Time,Most of the Time,Most of the Time,Sometimes,Most of the Time,I've joined in activities I have never joined in.,"Games, volunteering, donating."
2015,1,Southeast Senior Center,00:00.0,00:00.0,"Asian, Asian-American ",Not Specified,98118,531,Not Specified,Most of the Time,Sometimes,Not Specified,Not Specified,Most of the Time,Sometimes,Most of the Time,Most of the Time,Most of the Time,Most of the Time,Not Specified,Sometimes,Most of the Time,,
2015,1,Southeast Senior Center,00:00.0,00:00.0,White or Caucasian ,Not Specified,98118,532,Not Applicable,Most of the Time,Most of the Time,Most of the Time,Most of the Time,Most of the Time,Not Specified,Almost Never,Most of the Time,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,,
2015,1,Southeast Senior Center,00:00.0,00:00.0,"Black, African-American, Other African ",Not Specified,98122,533,Sometimes,Most of the Time,Sometimes,Sometimes,Sometimes,Most of the Time,Sometimes,Not Applicable,Almost Never,Most of the Time,Most of the Time,Almost Never,Sometimes,Most of the Time,,Weaving
2015,1,Southeast Senior Center,00:00.0,00:00.0,White or Caucasian ,Not Specified,98101,534,Most of the Time,Most of the Time,Sometimes,Almost Never,Almost Never,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Most of the Time,"I love to weave, that has been the biggest change, I spend more money for dues and gas","weaving, painting, volunteering"
2015,1,Southeast Senior Center,00:00.0,00:00.0,Other ,Not Specified,98118,535,Not Applicable,Most of the Time,Not Specified,Not Applicable,Most of the Time,Not Specified,Most of the Time,Not Applicable,Not Applicable,Most of the Time,Not Specified,Not Applicable,Not Applicable,Not Specified,Making new friends while learning new skills,Weaving
2015,1,Southeast Senior Center,00:00.0,00:00.0,"Black, African-American, Other African ",Not Specified,98118,536,Most of the Time,Most of the Time,Sometimes,Not Applicable,Most of the Time,Most of the Time,Most of the Time,Not Applicable,Most of the Time,Most of the Time,Most of the Time,Sometimes,Most of the Time,Most of the Time,,weaving studio
2015,1,Southeast Senior Center,00:00.0,00:00.0,Hawaiian Native or Pacific Islander ,Not Specified,98134,537,Not Applicable,Most of the Time,Not Applicable,Not Applicable,Not Applicable,Sometimes,Not Applicable,Not Applicable,Not Applicable,Sometimes,Most of the Time,Almost Never,Not Applicable,Most of the Time,,Weaving
2015,1,Southeast Senior Center,00:00.0,00:00.0,"Black, African-American, Other African ",Not Specified,98118,538,Most of the Time,Most of the Time,Sometimes,Almost Never,Almost Never,Most of the Time,Sometimes,Most of the Time,Most of the Time,Sometimes,Sometimes,Most of the Time,Sometimes,Most of the Time,,
2015,1,Southeast Senior Center,00:00.0,00:00.0,White or Caucasian ,Not Specified,98112,539,Not Applicable,Most of the Time,Most of the Time,Most of the Time,Most of the Time,Most of the Time,Most of the Time,Sometimes,Most of the Time,Most of the Time,Most of the Time,Sometimes,Not Specified,Most of the Time,Exercise and class have help me,
2015,1,Southeast Senior Center,00:00.0,00:00.0,"Black, African-American, Other African ",Not Specified,98056,540,Not Specified,Most of the Time,Most of the Time,Most of the Time,Most of the Time,Most of the Time,Not Specified,Sometimes,Most of the Time,Most of the Time,Most of the Time,Most of the Time,Most of the Time,Not Specified,,
2015,1,Southeast Senior Center,00:00.0,00:00.0,"Black, African-American, Other African ",Not Specified,98118,541,Almost Never,Most of the Time,Sometimes,Sometimes,Almost Never,Sometimes,Almost Never,Sometimes,Most of the Time,Sometimes,Sometimes,Sometimes,Not Applicable,Most of the Time,Makes me happier,"Dominoes, lunch"
2015,1,Southeast Senior Center,00:00.0,00:00.0,"Black, African-American, Other African ",Not Specified,98178,542,Sometimes,Sometimes,Sometimes,Sometimes,Most of the Time,Most of the Time,Most of the Time,Most of the Time,Most of the Time,Most of the Time,Most of the Time,Most of the Time,Most of the Time,Most of the Time,Met my sweetheart here.,"Dominoes, hand and feet, lunch, field trips"
2015,1,Southeast Senior Center,00:00.0,00:00.0,White or Caucasian ,Not Specified,98118,543,Sometimes,Most of the Time,Sometimes,Sometimes,Most of the Time,Most of the Time,Most of the Time,Most of the Time,Most of the Time,Most of the Time,Most of the Time,Most of the Time,Most of the Time,Most of the Time,"Meeting new people, something to look forward to, getting out more often","Field trips, dominoes, hands and feet, lunch"
2015,1,Southeast Senior Center,00:00.0,00:00.0,"Black, African-American, Other African ",Not Specified,NULL,544,Almost Never,Most of the Time,Most of the Time,Most of the Time,Most of the Time,Most of the Time,Most of the Time,Most of the Time,Most of the Time,Most of the Time,Most of the Time,Most of the Time,Most of the Time,Most of the Time,"I'm not isolated, made many friends.","Exercise class, some lunches, some lectures"
2015,1,Southeast Senior Center,00:00.0,00:00.0,White or Caucasian ,Not Specified,98108,545,Almost Never,Sometimes,Most of the Time,Almost Never,Sometimes,Almost Never,Sometimes,Sometimes,Sometimes,Almost Never,Almost Never,Almost Never,Sometimes,Almost Never,,
2015,1,Southeast Senior Center,00:00.0,00:00.0,,Not Specified,98118,546,Not Applicable,Sometimes,Most of the Time,Most of the Time,Most of the Time,Most of the Time,Sometimes,Most of the Time,Most of the Time,Most of the Time,Most of the Time,Sometimes,Most of the Time,Most of the Time,More active,
2015,1,Southeast Senior Center,00:00.0,00:00.0,"Black, African-American, Other African ",Not Specified,98105,547,Not Applicable,Sometimes,Most of the Time,Sometimes,Sometimes,Not Applicable,Sometimes,Most of the Time,Not Applicable,Most of the Time,Sometimes,Sometimes,Sometimes,Most of the Time,Positive atmosphere,Enhanced Exercise
2015,1,Southeast Senior Center,00:00.0,00:00.0,"Black, African-American, Other African ",Not Specified,98118,548,Most of the Time,Most of the Time,Most of the Time,Sometimes,Most of the Time,Most of the Time,Most of the Time,Most of the Time,Most of the Time,Most of the Time,Sometimes,Most of the Time,Most of the Time,Most of the Time,"More active, healthier and know health, wellness and fitness resources","Exercise, special classes"
2015,1,Southeast Senior Center,00:00.0,00:00.0,,Not Specified,98178,549,Most of the Time,Most of the Time,Most of the Time,Most of the Time,Sometimes,Most of the Time,Most of the Time,Sometimes,Most of the Time,Most of the Time,Sometimes,Most of the Time,Most of the Time,Most of the Time,Makes me better,Exercise
2015,1,Southeast Senior Center,00:00.0,00:00.0,"Black, African-American, Other African ",Not Specified,98118,550,Sometimes,Most of the Time,Most of the Time,Not Specified,Sometimes,Most of the Time,Most of the Time,Almost Never,Most of the Time,Most of the Time,Most of the Time,Most of the Time,Most of the Time,Most of the Time,,Mark's fitness class
2015,1,Southeast Senior Center,00:00.0,00:00.0,White or Caucasian ,Not Specified,98118,551,Not Specified,Most of the Time,Most of the Time,Most of the Time,Most of the Time,Most of the Time,Most of the Time,Sometimes,Most of the Time,Most of the Time,Most of the Time,Sometimes,Most of the Time,Most of the Time,I look forward to the exercise class and some of the activities,
2015,1,Southeast Senior Center,00:00.0,00:00.0,White or Caucasian ,Not Specified,98057,552,Not Specified,Not Specified,Not Specified,Not Specified,Most of the Time,Not Specified,Not Specified,Not Specified,Not Specified,Most of the Time,Not Specified,Most of the Time,Most of the Time,Not Specified,"Exercise and stretching classes, positive benefit and increase in mobility",Exercise class and some special events
2015,1,Southeast Senior Center,00:00.0,00:00.0,,Not Specified,98118,553,Not Applicable,Not Applicable,Most of the Time,Not Applicable,Most of the Time,Not Applicable,Not Applicable,Most of the Time,Not Applicable,Not Applicable,Sometimes,Sometimes,Most of the Time,Most of the Time,Better informed,"Fitness, stretch, use computer"
2015,1,Southeast Senior Center,00:00.0,00:00.0,"Black, African-American, Other African ",Not Specified,NULL,554,Sometimes,Most of the Time,Most of the Time,Most of the Time,Most of the Time,Most of the Time,Most of the Time,Most of the Time,Most of the Time,Most of the Time,Sometimes,Most of the Time,Most of the Time,Most of the Time,I am happy not lonesome anymore,Exercises
2015,1,Southeast Senior Center,00:00.0,00:00.0,"Black, African-American, Other African ",Not Specified,98108,555,Not Applicable,Most of the Time,Most of the Time,Not Applicable,Most of the Time,Most of the Time,Most of the Time,Sometimes,Not Applicable,Most of the Time,Most of the Time,Sometimes,Most of the Time,Most of the Time,"Made new friends, makes exercising more enjoyable","Advanced fitness, craft class, foot care"
2015,1,Southeast Senior Center,00:00.0,00:00.0,White or Caucasian ,Not Specified,98178,556,Almost Never,Almost Never,Most of the Time,Most of the Time,Most of the Time,Most of the Time,Most of the Time,Sometimes,Sometimes,Most of the Time,Most of the Time,Most of the Time,Most of the Time,Most of the Time,It takes me out of my house more often,
2015,1,Southeast Senior Center,00:00.0,00:00.0,"Black, African-American, Other African ",Not Specified,98118,557,Almost Never,Most of the Time,Most of the Time,Sometimes,Most of the Time,Sometimes,Sometimes,Most of the Time,Most of the Time,Most of the Time,Most of the Time,Most of the Time,Most of the Time,Most of the Time,"Made new friends, gave me a reason to get out of the house",Exercise
2015,1,Southeast Senior Center,00:00.0,00:00.0,"Black, African-American, Other African ",Not Specified,98118,558,Most of the Time,Most of the Time,Most of the Time,Most of the Time,Most of the Time,Most of the Time,Most of the Time,Most of the Time,Most of the Time,Most of the Time,Most of the Time,Most of the Time,Most of the Time,Most of the Time,A place I can say I belong,"Lunch, bingo, movies, crafts, exercise"
2015,1,Southeast Senior Center,00:00.0,00:00.0,"Black, African-American, Other African ",Not Specified,98118,559,Not Applicable,Most of the Time,Most of the Time,Sometimes,Sometimes,Sometimes,Sometimes,Not Applicable,Most of the Time,Sometimes,Sometimes,Sometimes,Most of the Time,Sometimes,Improving my health,Exercises class
2015,1,Southeast Senior Center,00:00.0,00:00.0,White or Caucasian ,Not Specified,98118,560,Most of the Time,Most of the Time,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Most of the Time,Most of the Time,Not Applicable,Most of the Time,Most of the Time,Most of the Time,Not Applicable,Most of the Time,,
2015,1,Ballard NW Senior Center,00:00.0,00:00.0,White or Caucasian ,Not Specified,98107,561,Sometimes,Most of the Time,Most of the Time,Most of the Time,Most of the Time,Most of the Time,Most of the Time,Sometimes,Most of the Time,Most of the Time,Most of the Time,Most of the Time,Most of the Time,Most of the Time,Better lunch,"Balance, cards"
2015,1,Ballard NW Senior Center,00:00.0,00:00.0,"Asian, Asian-American ",Not Specified,98117,562,Almost Never,Sometimes,Most of the Time,Most of the Time,Sometimes,Most of the Time,Most of the Time,Most of the Time,Not Applicable,Most of the Time,Almost Never,Most of the Time,Most of the Time,Most of the Time,Exercise and socialize,NULL
2015,1,Ballard NW Senior Center,00:00.0,00:00.0,White or Caucasian ,Not Specified,98107,563,Not Applicable,Most of the Time,Most of the Time,Sometimes,Most of the Time,Most of the Time,Sometimes,Most of the Time,Most of the Time,Most of the Time,Most of the Time,Most of the Time,Most of the Time,Most of the Time,Have more friends,NULL
2015,1,Ballard NW Senior Center,00:00.0,00:00.0,White or Caucasian ,Not Specified,98107,564,Sometimes,Most of the Time,Most of the Time,Most of the Time,Most of the Time,Most of the Time,Most of the Time,Most of the Time,Most of the Time,Most of the Time,Most of the Time,Most of the Time,Most of the Time,Most of the Time,"Balance is better, increasing sociability","Balance class, lunch"
2015,1,Ballard NW Senior Center,00:00.0,00:00.0,"Black, African-American, Other African ",Not Specified,98107,565,Not Applicable,Sometimes,Most of the Time,Most of the Time,Most of the Time,Sometimes,Most of the Time,Not Applicable,Not Applicable,Most of the Time,Not Applicable,Sometimes,Not Applicable,Most of the Time,Feel better and see other people,Balance
2015,1,Ballard NW Senior Center,00:00.0,00:00.0,,Not Specified,98121,566,Most of the Time,Most of the Time,Most of the Time,Most of the Time,Most of the Time,Most of the Time,Most of the Time,Most of the Time,Most of the Time,Most of the Time,Most of the Time,Most of the Time,Most of the Time,Most of the Time,Much more contact with people,"Meals,Computer use,Dental care,volunteering"
2015,1,Ballard NW Senior Center,00:00.0,00:00.0,White or Caucasian ,Not Specified,98103,567,Sometimes,Most of the Time,Not Applicable,Most of the Time,Sometimes,Most of the Time,Most of the Time,Not Applicable,Most of the Time,Most of the Time,Most of the Time,Sometimes,Sometimes,Most of the Time,More meaningful well beaing,"Serving, officework"
2015,1,Ballard NW Senior Center,00:00.0,00:00.0,White or Caucasian ,Not Specified,98117,568,Sometimes,Sometimes,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Sometimes,Sometimes,Not Applicable,Not Applicable,Most of the Time,NULL,"Yoga, Volunteer in kitchen"
2015,1,Ballard NW Senior Center,00:00.0,00:00.0,White or Caucasian ,Not Specified,98117,569,Most of the Time,Most of the Time,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Most of the Time,Most of the Time,Most of the Time,Most of the Time,Most of the Time,Most of the Time,Most of the Time,Most of the Time,More interchange with people incase dental work,Help on monthly paper-mailing
2015,1,Ballard NW Senior Center,00:00.0,00:00.0,White or Caucasian ,Not Specified,98117,570,Sometimes,Most of the Time,Most of the Time,Most of the Time,Most of the Time,Most of the Time,Most of the Time,Most of the Time,Most of the Time,Most of the Time,Most of the Time,Most of the Time,Most of the Time,Most of the Time,I am much happier and healthier,Fitness
2015,1,Ballard NW Senior Center,00:00.0,00:00.0,White or Caucasian ,Not Specified,98106,571,Most of the Time,Most of the Time,Sometimes,Sometimes,Most of the Time,Most of the Time,Sometimes,Sometimes,Most of the Time,Most of the Time,Sometimes,Most of the Time,Most of the Time,Most of the Time,Encourages me to get out of the house,"Quilting group,Book club,Foot care,Special programs"
2015,1,Ballard NW Senior Center,00:00.0,00:00.0,White or Caucasian ,Not Specified,98107,572,Sometimes,Most of the Time,Sometimes,Almost Never,Sometimes,Most of the Time,Most of the Time,Most of the Time,Sometimes,Most of the Time,Most of the Time,Most of the Time,Sometimes,Most of the Time,NULL,"Quilting,Craft Sales"
2015,1,Ballard NW Senior Center,00:00.0,00:00.0,White or Caucasian ,Not Specified,98117,573,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Almost Never,Not Applicable,Most of the Time,NULL,Tax help
2015,1,Ballard NW Senior Center,00:00.0,00:00.0,"Hispanic, Latino ",Not Specified,98107,574,Not Applicable,Sometimes,Sometimes,Most of the Time,Most of the Time,Most of the Time,Most of the Time,Sometimes,Most of the Time,Most of the Time,Most of the Time,Most of the Time,Sometimes,Most of the Time,"Eat better,Meet people","Use computer,come for lunch"
2015,1,Ballard NW Senior Center,00:00.0,00:00.0,White or Caucasian ,Not Specified,98107,575,Sometimes,Sometimes,Sometimes,Sometimes,Most of the Time,Most of the Time,Sometimes,Not Applicable,Sometimes,Most of the Time,Most of the Time,Most of the Time,Most of the Time,Most of the Time,Friendship,Balance class / current events
2015,1,Ballard NW Senior Center,00:00.0,00:00.0,White or Caucasian ,Not Specified,98107,576,Almost Never,Sometimes,Most of the Time,Not Applicable,Most of the Time,Most of the Time,Sometimes,Not Applicable,Not Applicable,Most of the Time,Sometimes,Sometimes,Most of the Time,Most of the Time,Let me made exercise and lose weight!,Exercise - plan to volunteer by April or May
2015,1,Ballard NW Senior Center,00:00.0,00:00.0,White or Caucasian ,Not Specified,98117,577,Most of the Time,Most of the Time,Most of the Time,Most of the Time,Most of the Time,Most of the Time,Most of the Time,Most of the Time,Most of the Time,Most of the Time,Most of the Time,Most of the Time,Most of the Time,Most of the Time,Get me out of the house,
2015,1,Ballard NW Senior Center,00:00.0,00:00.0,White or Caucasian ,Not Specified,98020,578,Most of the Time,Most of the Time,Most of the Time,Most of the Time,Sometimes,Most of the Time,Most of the Time,Sometimes,Most of the Time,Most of the Time,Most of the Time,Most of the Time,Most of the Time,Most of the Time,It give me a more positive outlook on life.,"Reception,Bingo,Meals"
2015,1,Ballard NW Senior Center,00:00.0,00:00.0,White or Caucasian ,Not Specified,NULL,579,Almost Never,Not Specified,Most of the Time,Sometimes,Sometimes,Sometimes,Sometimes,Most of the Time,Most of the Time,Most of the Time,Not Specified,Most of the Time,Most of the Time,Most of the Time,NULL,Luncheons
2015,1,Ballard NW Senior Center,00:00.0,00:00.0,White or Caucasian ,Not Specified,98177,580,Not Applicable,Most of the Time,Not Applicable,Not Specified,Most of the Time,Most of the Time,Most of the Time,Most of the Time,Most of the Time,Most of the Time,Most of the Time,Most of the Time,Most of the Time,Most of the Time,Making new friends,Bingo
2015,1,Ballard NW Senior Center,00:00.0,00:00.0,"Asian, Asian-American ",Not Specified,98107,581,Not Applicable,Most of the Time,Most of the Time,Not Applicable,Most of the Time,Not Specified,Most of the Time,Most of the Time,Most of the Time,Most of the Time,Most of the Time,Sometimes,Most of the Time,Most of the Time,Happier and Healthier,Ping pong
2015,1,Ballard NW Senior Center,00:00.0,00:00.0,,Not Specified,98199,582,Sometimes,Sometimes,Sometimes,Sometimes,Most of the Time,Most of the Time,Most of the Time,Sometimes,Sometimes,Most of the Time,Sometimes,Sometimes,Not Specified,Sometimes,All the above,Ping pong
2015,1,Ballard NW Senior Center,00:00.0,00:00.0,White or Caucasian ,Not Specified,98107,583,Not Applicable,Sometimes,Sometimes,Sometimes,Most of the Time,Most of the Time,Most of the Time,Not Applicable,Most of the Time,Most of the Time,Most of the Time,Not Applicable,Most of the Time,Most of the Time,"I am now fully retired due to my physical condition, so i now have the time to learn to paint, something that I have always wanted to do.",The acrylic painting class. I drive from West Seattle for this class.
2015,1,Ballard NW Senior Center,00:00.0,00:00.0,White or Caucasian ,Not Specified,98199,584,Sometimes,Most of the Time,Most of the Time,Most of the Time,Most of the Time,Sometimes,Sometimes,Most of the Time,Sometimes,Most of the Time,Sometimes,Sometimes,Most of the Time,Sometimes,Just starting with the senior center,"Elder Care,Rummage sale"
2015,1,Ballard NW Senior Center,00:00.0,00:00.0,White or Caucasian ,Not Specified,98107,585,Sometimes,Most of the Time,Most of the Time,Sometimes,Most of the Time,Most of the Time,Most of the Time,Not Applicable,Most of the Time,Most of the Time,Most of the Time,Most of the Time,Most of the Time,Most of the Time,Balance + strength are much better,Balance class / meals / activities
2015,1,Ballard NW Senior Center,00:00.0,00:00.0,Hawaiian Native or Pacific Islander ,Not Specified,98107,586,Not Applicable,Sometimes,Most of the Time,Most of the Time,Most of the Time,Most of the Time,Most of the Time,Most of the Time,Most of the Time,Most of the Time,Most of the Time,Most of the Time,Most of the Time,Most of the Time,Having a place to go,Exercise
2015,1,Ballard NW Senior Center,00:00.0,00:00.0,"Black, African-American, Other African ",Not Specified,98107,587,Most of the Time,Sometimes,Sometimes,Not Applicable,Sometimes,Most of the Time,Most of the Time,Most of the Time,Most of the Time,Most of the Time,Most of the Time,Most of the Time,Not Applicable,Most of the Time,"I've met many interesting people, learned about services + classes, and felt more connected","Volunteer, rummage sales, special events"
2015,1,Ballard NW Senior Center,00:00.0,00:00.0,White or Caucasian ,Not Specified,98103,588,Most of the Time,Most of the Time,Most of the Time,Not Specified,Most of the Time,Most of the Time,Most of the Time,Most of the Time,Most of the Time,Most of the Time,Most of the Time,Most of the Time,Most of the Time,Most of the Time,Keeps you in touch,Rummage Sale
2015,1,Ballard NW Senior Center,00:00.0,00:00.0,White or Caucasian ,Not Specified,98117,589,Almost Never,Most of the Time,Most of the Time,Most of the Time,Most of the Time,Most of the Time,Most of the Time,Most of the Time,Most of the Time,Most of the Time,Most of the Time,Most of the Time,Most of the Time,Most of the Time,All of the above,"Enhanced Fitness, Lunch, Book club"
2015,1,Ballard NW Senior Center,00:00.0,00:00.0,"Hispanic, Latino ",Not Specified,NULL,590,Sometimes,Most of the Time,Most of the Time,Most of the Time,Sometimes,Most of the Time,Most of the Time,Most of the Time,Most of the Time,Most of the Time,Most of the Time,Most of the Time,Most of the Time,Most of the Time,"Gives me something to look forward to, seeing frinds,enjoying lunch","Red Hats,Rummage Sale,Occasional class,Parties,Lunch,Membership"
2015,1,Ballard NW Senior Center,00:00.0,00:00.0,White or Caucasian ,Not Specified,98107,591,Most of the Time,Sometimes,Sometimes,Most of the Time,Sometimes,Most of the Time,Most of the Time,Most of the Time,Sometimes,Most of the Time,Sometimes,Most of the Time,Most of the Time,Most of the Time,"Made me a part of the community, new to Seattle","Volunteer,Lunches,Special Events"
2015,1,Ballard NW Senior Center,00:00.0,00:00.0,American Indian or Alaska Native ,Not Specified,98199,592,Not Applicable,Most of the Time,Sometimes,Sometimes,Sometimes,Most of the Time,Sometimes,Not Applicable,Not Applicable,Most of the Time,Sometimes,Almost Never,Sometimes,Most of the Time,Ping pong,Ping pong
2015,1,Ballard NW Senior Center,00:00.0,00:00.0,,Not Specified,98107,593,Not Applicable,Most of the Time,Most of the Time,Most of the Time,Most of the Time,Most of the Time,Most of the Time,Most of the Time,Most of the Time,Most of the Time,Most of the Time,Most of the Time,Most of the Time,Most of the Time,I now have a place to be,NULL
2015,1,Ballard NW Senior Center,00:00.0,00:00.0,White or Caucasian ,Not Specified,98199,594,Sometimes,Most of the Time,Most of the Time,Most of the Time,Most of the Time,Most of the Time,Most of the Time,Most of the Time,Most of the Time,Most of the Time,Most of the Time,Most of the Time,Most of the Time,Most of the Time,Being at the center with others takes away loneliness and self pity,"Lunch, exercise, art, rummage, bingo"
2015,1,Ballard NW Senior Center,00:00.0,00:00.0,White or Caucasian ,Not Specified,98107,595,Almost Never,Most of the Time,Most of the Time,Most of the Time,Most of the Time,Most of the Time,Most of the Time,Most of the Time,Most of the Time,Most of the Time,Sometimes,Most of the Time,Most of the Time,Most of the Time,Saved my life,Everything
2015,1,Ballard NW Senior Center,00:00.0,00:00.0,White or Caucasian ,Not Specified,NULL,596,Sometimes,Most of the Time,Most of the Time,Most of the Time,Most of the Time,Most of the Time,Most of the Time,Most of the Time,Most of the Time,Most of the Time,Most of the Time,Most of the Time,Most of the Time,Most of the Time,NULL,NULL
2015,1,Ballard NW Senior Center,00:00.0,00:00.0,White or Caucasian ,Not Specified,98020,597,Sometimes,Most of the Time,Most of the Time,Most of the Time,Most of the Time,Most of the Time,Most of the Time,Most of the Time,Most of the Time,Most of the Time,Most of the Time,Most of the Time,Most of the Time,Most of the Time,Make me plan my life better,"Fun, red hats, lunch, bookstore, coffee"
2015,1,Ballard NW Senior Center,00:00.0,00:00.0,White or Caucasian ,Not Specified,98199,598,Most of the Time,Most of the Time,Most of the Time,Most of the Time,Most of the Time,Most of the Time,Most of the Time,Most of the Time,Most of the Time,Most of the Time,Most of the Time,Most of the Time,Most of the Time,Most of the Time,Given purpose,NULL
2015,1,Ballard NW Senior Center,00:00.0,00:00.0,White or Caucasian ,Not Specified,98117,599,Most of the Time,Most of the Time,Most of the Time,Most of the Time,Most of the Time,Most of the Time,Most of the Time,Most of the Time,Most of the Time,Most of the Time,Most of the Time,Most of the Time,Most of the Time,Most of the Time,NULL,NULL
2015,1,Ballard NW Senior Center,00:00.0,00:00.0,White or Caucasian ,Not Specified,98199,600,Sometimes,Most of the Time,Most of the Time,Most of the Time,Most of the Time,Most of the Time,Most of the Time,Most of the Time,Most of the Time,Most of the Time,Most of the Time,Most of the Time,Most of the Time,Most of the Time,NULL,NULL
2015,1,Ballard NW Senior Center,00:00.0,00:00.0,White or Caucasian ,Not Specified,98107,601,Not Applicable,Most of the Time,Not Specified,Most of the Time,Most of the Time,Most of the Time,Most of the Time,Most of the Time,Sometimes,Most of the Time,Sometimes,Sometimes,Sometimes,Most of the Time,Love the photo class,
2015,1,Ballard NW Senior Center,00:00.0,00:00.0,White or Caucasian ,Not Specified,98199,602,Sometimes,Most of the Time,Sometimes,Not Applicable,Sometimes,Most of the Time,Most of the Time,Not Applicable,Not Applicable,Most of the Time,Sometimes,Sometimes,Sometimes,Most of the Time,I have more work,I'm a teacher here
2015,1,Ballard NW Senior Center,00:00.0,00:00.0,White or Caucasian ,Not Specified,98107,603,Not Applicable,Most of the Time,Most of the Time,Most of the Time,Most of the Time,Most of the Time,Most of the Time,Most of the Time,Most of the Time,Most of the Time,Most of the Time,Most of the Time,Most of the Time,Most of the Time,"Taking classes there is a terrific benefit, great teachers and staff","writing class, brain fitness class, Bastyr"
2015,1,Ballard NW Senior Center,00:00.0,00:00.0,White or Caucasian ,Not Specified,98107,604,Most of the Time,Most of the Time,Most of the Time,Most of the Time,Most of the Time,Most of the Time,Most of the Time,Most of the Time,Most of the Time,Most of the Time,Most of the Time,Most of the Time,Most of the Time,Most of the Time,French class,French class
2015,1,Ballard NW Senior Center,00:00.0,00:00.0,White or Caucasian ,Not Specified,98107,605,Not Applicable,Not Applicable,Sometimes,Sometimes,Not Applicable,Sometimes,Most of the Time,Not Applicable,Most of the Time,Most of the Time,Most of the Time,Not Applicable,Most of the Time,Most of the Time,Learn new things,French class
2015,1,Ballard NW Senior Center,00:00.0,00:00.0,White or Caucasian ,Not Specified,98107,606,Almost Never,Sometimes,Most of the Time,Most of the Time,Most of the Time,Most of the Time,Most of the Time,Most of the Time,Sometimes,Most of the Time,Most of the Time,Most of the Time,Most of the Time,Most of the Time,Love the classes and services. Helps with mental and physical health.,Acrylic art and collage.
2015,1,Ballard NW Senior Center,00:00.0,00:00.0,White or Caucasian ,Not Specified,98107,607,Not Applicable,Sometimes,Sometimes,Sometimes,Almost Never,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Most of the Time,Most of the Time,I'm just starting to come to the center,
2015,1,Ballard NW Senior Center,00:00.0,00:00.0,White or Caucasian ,Not Specified,98119,608,Almost Never,Sometimes,Most of the Time,Not Applicable,Most of the Time,Most of the Time,Almost Never,Almost Never,Most of the Time,Most of the Time,Sometimes,Sometimes,Most of the Time,Most of the Time,Healthier,"Yoga, Zumba, massage"
2015,1,Ballard NW Senior Center,00:00.0,00:00.0,"Asian, Asian-American ",Not Specified,98117,609,Most of the Time,Most of the Time,Most of the Time,Most of the Time,Most of the Time,Most of the Time,Most of the Time,Most of the Time,Most of the Time,Most of the Time,Most of the Time,Most of the Time,Most of the Time,Most of the Time,Made life more enjoyable,"Lunch,Volunteer,Rummage"
2015,1,Ballard NW Senior Center,00:00.0,00:00.0,White or Caucasian ,Not Specified,98043,610,Most of the Time,Most of the Time,Most of the Time,Most of the Time,Most of the Time,Most of the Time,Most of the Time,Most of the Time,Not Specified,Most of the Time,Most of the Time,Not Specified,Not Specified,Not Specified,See above,"Lunch, social, medical and legal services, socializing"
2015,1,Ballard NW Senior Center,00:00.0,00:00.0,White or Caucasian ,Not Specified,NULL,611,Sometimes,Most of the Time,Not Applicable,Almost Never,Sometimes,Sometimes,Sometimes,Most of the Time,Sometimes,Sometimes,Most of the Time,Most of the Time,Sometimes,Most of the Time,It's a positive experience overall and learning is fun!,Chinese (language)and laughing yoga
2015,1,Ballard NW Senior Center,00:00.0,00:00.0,White or Caucasian ,Not Specified,98117,612,Most of the Time,Most of the Time,Most of the Time,Sometimes,Most of the Time,Most of the Time,Most of the Time,Most of the Time,Most of the Time,Sometimes,Sometimes,Most of the Time,Most of the Time,Most of the Time,Got me out of the house,Spanish Class
2015,1,Ballard NW Senior Center,00:00.0,00:00.0,"Hispanic, Latino ",Not Specified,98107,613,Most of the Time,Most of the Time,Most of the Time,Most of the Time,Most of the Time,Most of the Time,Most of the Time,Most of the Time,Most of the Time,Most of the Time,Most of the Time,Most of the Time,Most of the Time,Most of the Time,It was the most important piece of my life many friends,
